Motor Type,Device Type,Run Time Since Maintenance,Run Time Since Overhaul,Run Time Since Production,Age Since Overhaul,Age Since Production,TempF Mean - 1 Minute,TempF StDev - 1 Minute,TempF Range - 1 Minute,TempF Max - 1 Minute,TempF Mean - 15 Minutes,TempF StDev - 15 Minutes,TempF Range - 15 Minutes,TempF Max - 15 Minutes,Observations Above Max Temp - 24 Hours,Remaining Useful Life
Shunt-Wound,Actuator,1438,4421,9063,347.32,753.69,72.26,0.51,0.86,72.43,72.41,0.12,0.26,72.42,10,2144.31
Shunt-Wound,Actuator,4948,7589,12894,589.03,1214.24,93.76,3.17,6.24,97.43,76.7,0.34,0.81,77.3,30,1
Permanent Magnet,Conveyor,5665,9024,13827,616.8,1071.83,99.46,3.11,4.85,102.27,73.64,2.29,6.86,74.46,0,1339.32
Permanent Magnet,Fan,2631,5441,10285,551.64,1151.18,77.97,3.78,7.59,84.11,74.75,0.19,0.4,75.07,18,685.32
Series-Wound,Conveyor,2842,6105,10676,398.86,983.87,69.71,2.08,4.48,71.95,72.33,0.33,0.72,72.62,0,2584.2
Shunt-Wound,Pump,5883,8534,13035,685.22,1265.32,77.42,0.89,1.55,78.04,83.89,5.5,12.58,84.32,0,1364.31
Series-Wound,Actuator,5304,8217,13233,792.6,1406.68,76.1,0.1,0.16,76.23,73.79,0.17,0.45,74.17,0,1598.47
Series-Wound,Fan,4929,7518,12551,983.96,1586.14,77.02,1.29,3.09,77.82,71,6.5,15.24,83.74,13,278.96
Permanent Magnet,Conveyor,2826,5586,11033,584.59,1101.81,74.53,0.17,0.31,74.64,87.61,1.79,4.5,90.63,9,1716.85
Permanent Magnet,Conveyor,5837,8801,14204,1103.65,1813.18,100.52,0.2,0.3,100.78,73.49,5.77,16.42,83.84,0,1123.16
Series-Wound,Pump,2286,5644,10385,766.8,1415.58,69.57,1.03,2.05,70.39,69.3,0.53,1.43,70.08,0,2655.77
Series-Wound,Fan,1152,4421,9788,636.86,1161.81,78.52,1.19,2.12,79.87,76.57,1.44,3.97,80.06,0,2988.49
Permanent Magnet,Pump,5187,7745,12749,832.17,1538.72,73.23,0.38,0.9,73.55,70.7,0.18,0.5,70.8,0,1774.45
Permanent Magnet,Actuator,4419,6978,12180,554.89,1085.6,70.2,0.9,1.93,70.35,75.51,0.36,0.82,76.11,0,2052.17
Permanent Magnet,Conveyor,4838,8238,12807,768.36,1143.66,72.78,1.17,2.74,73.95,102.28,1.93,5.24,106.61,0,1586.87
Permanent Magnet,Fan,5610,8272,13200,1049.05,1661.99,74.5,0.28,0.57,74.7,77.26,0.22,0.63,77.66,0,1645.36
Series-Wound,Conveyor,2756,5887,11159,594.87,1125.33,93.89,0.24,0.54,94.14,83.18,5.19,12.05,90.27,0,2178.45
Permanent Magnet,Actuator,4094,7425,12382,544.52,933.84,75.02,2.33,4.74,77.82,72.59,0.67,1.95,73.56,24,1
Permanent Magnet,Conveyor,5793,9239,14034,1007.13,1732.22,69.48,0.18,0.31,69.5,77.68,0.22,0.52,77.96,0,1578.41
Permanent Magnet,Actuator,3780,6680,11471,1111.72,1502.07,74.73,2.32,3.67,76.67,72.62,0.3,0.7,73.02,0,2092.43
Permanent Magnet,Actuator,5140,8379,13864,1343.74,1825.42,82.02,2.51,5.32,83.42,82.33,0.23,0.65,82.68,2,1202.3
Permanent Magnet,Fan,1282,3795,9182,406.52,810.63,95.15,0.12,0.24,95.28,69.32,0.39,0.96,69.46,0,3200.51
Shunt-Wound,Actuator,3464,6829,11788,870.03,1611.04,72.16,0.2,0.36,72.37,79.06,0.34,0.69,79.48,0,2291.07
Permanent Magnet,Fan,3389,6629,11541,571.34,1269.84,70.63,2.67,4.81,72.14,70.57,6.53,14.77,74.33,0,2263.08
Permanent Magnet,Fan,1700,4297,8880,519.56,1097.3,72.47,1.7,4.09,72.87,80.28,4.36,10.2,87.66,0,2798.6
Permanent Magnet,Fan,3493,6315,11710,565.34,1290.18,69.41,0.14,0.33,69.49,76.85,4.93,12.87,87.68,0,2234.04
Series-Wound,Actuator,3963,7083,12350,625.85,1066.46,72.43,2.95,7.33,77.71,76.1,0.49,1.07,76.35,3,1781.47
Permanent Magnet,Pump,2644,5638,10778,447.15,847.25,70.37,3.11,7.72,75.01,91.52,1.11,2.43,93.65,0,2383.36
Permanent Magnet,Fan,3027,5728,10784,480.19,806.15,89.37,1.72,4.15,91.05,72.09,1.04,2.56,72.34,0,2493.02
Permanent Magnet,Actuator,5660,9157,14008,1077.93,1481.38,75.8,0.38,0.69,76.16,93.31,6.28,13.31,98.03,0,1236.97
Permanent Magnet,Actuator,2498,5727,10962,418.2,1085.99,87.56,2.1,5.17,91.17,73.33,0.16,0.36,73.61,0,2635.14
Permanent Magnet,Fan,3670,6498,11269,1059.89,1404.93,73.27,0.18,0.34,73.38,76.51,0.56,1.49,77.68,0,2304.62
Permanent Magnet,Fan,3848,7098,12445,643.53,1042.28,95.98,5.93,13.63,97.45,76.22,0.58,1.2,77.02,0,1660.88
Series-Wound,Conveyor,2452,5395,9993,360.45,855.91,78.86,6.74,16.52,89.21,82.18,3.98,10.75,88.84,0,2033.17
Shunt-Wound,Actuator,1929,5249,9972,397.67,715.04,94.27,0.28,0.55,94.53,73.9,0.14,0.38,73.95,0,2734.16
Permanent Magnet,Pump,4154,7408,12725,496.51,936.22,78.75,0.19,0.37,78.85,71.96,0.21,0.53,72.29,0,2251.39
